history	word	score
BOS	we	0.1
BOS	i	0.4
UNK	a	0.038461538461538464
UNK	are	0.038461538461538464
UNK	give	0.07692307692307693
UNK	go	0.038461538461538464
UNK	to	0.07692307692307693
a	rt	0.6666666666666666
are	we	0.5
give	me	1.0
go	to	1.0
i	want	0.5
me	a	1.0
the	store	0.6666666666666666
to	go	0.16666666666666666
to	the	0.5
want	to	1.0
we	are	0.5
 	are	0.011764705882352941
 	go	0.011764705882352941
 	give	0.011764705882352941
 	store	0.011764705882352941
 	want	0.011764705882352941
 	me	0.011764705882352941
 	rt	0.011764705882352941
 	a	0.017647058823529415
 	the	0.017647058823529415
 	to	0.03529411764705883
 	i	0.023529411764705882
 	we	0.011764705882352941
